     vehicle name   , time[s]            , dt[s]              , u[ft/s]            , v[ft/s]            , w[ft/s]            , p[rad/s]           , q[rad/s]           , r[rad/s]           , x[ft]              , y[ft]              , z[ft]              , e0                 , ex                 , ey                 , ez                 , aileron[deg]       , elevator[deg]      , rudder[deg]        , throttle           , d_aileron          , d_elevator         , d_rudder           , d_throttle         , aileron_sp[deg]    , elevator_sp[deg]   , rudder_sp[deg]     , throttle_sp[none]  , ground_track[deg]  , heading[deg]       , wind_direction[deg]
                F16,  6.239999999996E+02,  1.000000000000E-02,  4.989451809294E+02, -3.861345539035E-05,  3.246084452593E+01,  8.366580972610E-09,  5.827440766995E-14, -1.232137596091E-08,  5.703709762558E+04,  2.275981396771E+05, -9.932452226433E+02,  7.412283880045E-01, -2.178704408838E-02,  2.408617405367E-02,  6.704667461892E-01,  8.331958285342E-07, -7.624789448797E+00, -1.272006200411E-05,  8.887557524926E-02, -1.593512002037E-08, -4.673649100959E-12,  2.432681947604E-07,  2.973019878242E-14,  8.319975814235E-07, -7.624789448797E+00, -1.270176936201E-05,  8.887557524931E-02,  9.000003772174E+01,  8.426086345329E+01,  4.500000000000E+01 
                F16,  6.249999999996E+02,  1.000000000000E-02,  4.989451809294E+02, -3.787957922221E-05,  3.246084452596E+01,  8.207774024557E-09,  5.726030159468E-14, -1.208746988935E-08,  5.703709733377E+04,  2.280456334250E+05, -9.932452226434E+02,  7.412283921860E-01, -2.178704116412E-02,  2.408617669880E-02,  6.704667415664E-01,  8.173597216335E-07, -7.624789448802E+00, -1.247830566532E-05,  8.887557524929E-02, -1.563226193655E-08, -4.668475640661E-12,  2.386446945793E-07,  2.411832912234E-14,  8.161842464836E-07, -7.624789448802E+00, -1.246036068904E-05,  8.887557524931E-02,  9.000003700523E+01,  8.426086280880E+01,  4.500000000000E+01 
                F16,  6.259999999996E+02,  1.000000000000E-02,  4.989451809294E+02, -3.715965062751E-05,  3.246084452599E+01,  8.051977165218E-09,  5.649656188482E-14, -1.185799809326E-08,  5.703709704751E+04,  2.284931271723E+05, -9.932452226434E+02,  7.412283962881E-01, -2.178703829537E-02,  2.408617929372E-02,  6.704667370314E-01,  8.018246099087E-07, -7.624789448806E+00, -1.224114409396E-05,  8.887557524931E-02, -1.533512234494E-08, -4.508819106831E-12,  2.341090650731E-07,  7.869702897299E-15,  8.006714760541E-07, -7.624789448807E+00, -1.222354017601E-05,  8.887557524931E-02,  9.000003630232E+01,  8.426086217654E+01,  4.500000000000E+01 
                F16,  6.269999999996E+02,  1.000000000000E-02,  4.989451809294E+02, -3.645340453802E-05,  3.246084452601E+01,  7.899131262139E-09,  5.519160319355E-14, -1.163287690376E-08,  5.703709676668E+04,  2.289406209191E+05, -9.932452226435E+02,  7.412284003123E-01, -2.178703548107E-02,  2.408618183938E-02,  6.704667325825E-01,  7.865847918396E-07, -7.624789448811E+00, -1.200848996394E-05,  8.887557524931E-02, -1.504363342457E-08, -4.483276676294E-12,  2.296596385386E-07, -1.042649535976E-15,  7.854535793302E-07, -7.624789448811E+00, -1.199122062226E-05,  8.887557524931E-02,  9.000003561276E+01,  8.426086155628E+01,  4.500000000000E+01 
                F16,  6.279999999996E+02,  1.000000000000E-02,  4.989451809294E+02, -3.576058092285E-05,  3.246084452604E+01,  7.749183886863E-09,  5.401140481392E-14, -1.141202395545E-08,  5.703709649118E+04,  2.293881146654E+05, -9.932452226436E+02,  7.412284042601E-01, -2.178703272020E-02,  2.408618433673E-02,  6.704667282180E-01,  7.716346151071E-07, -7.624789448815E+00, -1.178025760940E-05,  8.887557524931E-02, -1.475770318385E-08, -4.351300527403E-12,  2.252947753505E-07, -4.856169933518E-16,  7.705249044874E-07, -7.624789448816E+00, -1.176331648525E-05,  8.887557524932E-02,  9.000003493629E+01,  8.426086094779E+01,  4.500000000000E+01 
                F16,  6.289999999996E+02,  1.000000000000E-02,  4.989451809294E+02, -3.508092469447E-05,  3.246084452607E+01,  7.602077506064E-09,  5.245143687097E-14, -1.119535867657E-08,  5.703709622092E+04,  2.298356084111E+05, -9.932452226436E+02,  7.412284081330E-01, -2.178703001173E-02,  2.408618678666E-02,  6.704667239364E-01,  7.569686115521E-07, -7.624789448820E+00, -1.155636299193E-05,  8.887557524932E-02, -1.447726424057E-08, -4.360711839966E-12,  2.210128696606E-07,  2.849144905365E-14,  7.558799908637E-07, -7.624789448820E+00, -1.153974384728E-05,  8.887557524937E-02,  9.000003427265E+01,  8.426086035086E+01,  4.500000000000E+01 
                F16,  6.299999999996E+02,  1.000000000000E-02,  4.989451809294E+02, -3.441418561037E-05,  3.246084452609E+01,  7.457760962140E-09,  5.197305861154E-14, -1.098280175964E-08,  5.703709595580E+04,  2.302831021563E+05, -9.932452226437E+02,  7.412284119323E-01, -2.178702735468E-02,  2.408618919009E-02,  6.704667197360E-01,  7.425813545919E-07, -7.624789448824E+00, -1.133672367069E-05,  8.887557524935E-02, -1.420202430327E-08, -4.192312763885E-12,  2.168123419773E-07,  2.256895950438E-14,  7.415134273185E-07, -7.624789448824E+00, -1.132042038626E-05,  8.887557524937E-02,  9.000003362162E+01,  8.426085976525E+01,  4.500000000000E+01 
                F16,  6.309999999996E+02,  1.000000000000E-02,  4.989451809294E+02, -3.376011818388E-05,  3.246084452612E+01,  7.316181270629E-09,  5.088014351967E-14, -1.077427549944E-08,  5.703709569571E+04,  2.307305959010E+05, -9.932452226437E+02,  7.412284156595E-01, -2.178702474807E-02,  2.408619154789E-02,  6.704667156155E-01,  7.284675391814E-07, -7.624789448828E+00, -1.112125877153E-05,  8.887557524936E-02, -1.393208608720E-08, -4.169457986893E-12,  2.126916474082E-07,  7.373261485246E-15,  7.274199106455E-07, -7.624789448828E+00, -1.110526534428E-05,  8.887557524937E-02,  9.000003298294E+01,  8.426085919077E+01,  4.500000000000E+01 
                F16,  6.319999999996E+02,  1.000000000000E-02,  4.989451809294E+02, -3.311848159323E-05,  3.246084452614E+01,  7.177283980128E-09,  4.996002298456E-14, -1.056970374609E-08,  5.703709544056E+04,  2.311780896452E+05, -9.932452226438E+02,  7.412284193160E-01, -2.178702219095E-02,  2.408619386093E-02,  6.704667115731E-01,  7.146220088789E-07, -7.624789448832E+00, -1.090988895687E-05,  8.887557524937E-02, -1.366732585698E-08, -4.048007873587E-12,  2.086492707492E-07, -8.502273012010E-16,  7.135942887346E-07, -7.624789448832E+00, -1.089419949765E-05,  8.887557524936E-02,  9.000003235639E+01,  8.426085862718E+01,  4.500000000000E+01 
                F16,  6.329999999996E+02,  1.000000000000E-02,  4.989451809294E+02, -3.248903959375E-05,  3.246084452617E+01,  7.041020186675E-09,  4.878773020992E-14, -1.036901176955E-08,  5.703709519025E+04,  2.316255833889E+05, -9.932452226439E+02,  7.412284229030E-01, -2.178701968237E-02,  2.408619613006E-02,  6.704667076075E-01,  7.010396248941E-07, -7.624789448836E+00, -1.070253639789E-05,  8.887557524936E-02, -1.340757939285E-08, -3.991275200931E-12,  2.046837208119E-07, -2.517241704388E-15,  7.000314408450E-07, -7.624789448836E+00, -1.068714512967E-05,  8.887557524937E-02,  9.000003174173E+01,  8.426085807430E+01,  4.500000000000E+01 
                F16,  6.339999999996E+02,  1.000000000000E-02,  4.989451809294E+02, -3.187156043129E-05,  3.246084452619E+01,  6.907340627782E-09,  4.757055733175E-14, -1.017212604865E-08,  5.703709494470E+04,  2.320730771321E+05, -9.932452226439E+02,  7.412284264219E-01, -2.178701722142E-02,  2.408619835610E-02,  6.704667037172E-01,  6.877154058748E-07, -7.624789448840E+00, -1.049912474381E-05,  8.887557524938E-02, -1.315271978756E-08, -3.891339249549E-12,  2.007935386108E-07,  2.609228704806E-14,  6.867263814884E-07, -7.624789448840E+00, -1.048402599927E-05,  8.887557524942E-02,  9.000003113875E+01,  8.426085753192E+01,  4.500000000000E+01 
                F16,  6.349999999996E+02,  1.000000000000E-02,  4.989451809294E+02, -3.126581675201E-05,  3.246084452621E+01,  6.776196520635E-09,  4.679554661401E-14, -9.978974572795E-09,  5.703709470382E+04,  2.325205708749E+05, -9.932452226440E+02,  7.412284298740E-01, -2.178701480720E-02,  2.408620053988E-02,  6.704666999008E-01,  6.746444312131E-07, -7.624789448844E+00, -1.029957909595E-05,  8.887557524940E-02, -1.290273506914E-08, -3.868940403225E-12,  1.969772920510E-07,  2.204157520223E-14,  6.736742067764E-07, -7.624789448844E+00, -1.028476731548E-05,  8.887557524942E-02,  9.000003054721E+01,  8.426085699983E+01,  4.500000000000E+01 
                F16,  6.359999999996E+02,  1.000000000000E-02,  4.989451809294E+02, -3.067158552624E-05,  3.246084452624E+01,  6.647539319730E-09,  4.626941029051E-14, -9.789486689487E-09,  5.703709446751E+04,  2.329680646172E+05, -9.932452226440E+02,  7.412284332605E-01, -2.178701243881E-02,  2.408620268220E-02,  6.704666961569E-01,  6.618218979895E-07, -7.624789448848E+00, -1.010382597826E-05,  8.887557524942E-02, -1.265743197934E-08, -3.717350769181E-12,  1.932335751545E-07,  7.610607145686E-15,  6.608701205429E-07, -7.624789448848E+00, -1.008929570797E-05,  8.887557524942E-02,  9.000002996690E+01,  8.426085647785E+01,  4.500000000000E+01 
                F16,  6.369999999996E+02,  1.000000000000E-02,  4.989451809294E+02, -3.008864796194E-05,  3.246084452626E+01,  6.521321367431E-09,  4.509448916384E-14, -9.603593209572E-09,  5.703709423569E+04,  2.334155583590E+05, -9.932452226441E+02,  7.412284365827E-01, -2.178701011538E-02,  2.408620478385E-02,  6.704666924840E-01,  6.492430675045E-07, -7.624789448851E+00, -9.911793311460E-06,  8.887557524942E-02, -1.241691569839E-08, -3.705461303059E-12,  1.895610092849E-07, -2.003128692712E-16,  6.483093738356E-07, -7.624789448852E+00, -9.897539201141E-06,  8.887557524942E-02,  9.000002939761E+01,  8.426085596577E+01,  4.500000000000E+01 
                F16,  6.379999999996E+02,  1.000000000000E-02,  4.989451809294E+02, -2.951678942360E-05,  3.246084452628E+01,  6.397496965386E-09,  4.433298262211E-14, -9.421225952458E-09,  5.703709400828E+04,  2.338630521004E+05, -9.932452226441E+02,  7.412284398419E-01, -2.178700783608E-02,  2.408620684559E-02,  6.704666888809E-01,  6.369033405748E-07, -7.624789448855E+00, -9.723410385865E-06,  8.887557524942E-02, -1.218093461389E-08, -3.572669624980E-12,  1.859582441001E-07, -4.429252615314E-15,  6.359873898228E-07, -7.624789448855E+00, -9.709427186797E-06,  8.887557524941E-02,  9.000002883913E+01,  8.426085546342E+01,  4.500000000000E+01 
                F16,  6.389999999996E+02,  1.000000000000E-02,  4.989451809294E+02, -2.895579935482E-05,  3.246084452630E+01,  6.276021422415E-09,  4.288627408549E-14, -9.242318281311E-09,  5.703709378519E+04,  2.343105458414E+05, -9.932452226442E+02,  7.412284430391E-01, -2.178700560005E-02,  2.408620886818E-02,  6.704666853462E-01,  6.247981396741E-07, -7.624789448859E+00, -9.538607836468E-06,  8.887557524942E-02, -1.194935339102E-08, -3.561391110187E-12,  1.824239507291E-07,  1.913035883708E-14,  6.238996057097E-07, -7.624789448859E+00, -9.524890399880E-06,  8.887557524946E-02,  9.000002829126E+01,  8.426085497061E+01,  4.500000000000E+01 
                F16,  6.399999999996E+02,  1.000000000000E-02,  4.989451809294E+02, -2.840547120129E-05,  3.246084452633E+01,  6.156851064947E-09,  4.216989024000E-14, -9.066804553407E-09,  5.703709356633E+04,  2.347580395820E+05, -9.932452226442E+02,  7.412284461757E-01, -2.178700340648E-02,  2.408621085237E-02,  6.704666818786E-01,  6.129230104291E-07, -7.624789448862E+00, -9.357317615452E-06,  8.887557524945E-02, -1.172226627248E-08, -3.495389927580E-12,  1.789568293558E-07,  2.414939947237E-14,  6.120415542303E-07, -7.624789448862E+00, -9.343860890365E-06,  8.887557524947E-02,  9.000002775378E+01,  8.426085448716E+01,  4.500000000000E+01 
                F16,  6.409999999996E+02,  1.000000000000E-02,  4.989451809294E+02, -2.786560233405E-05,  3.246084452635E+01,  6.039939254718E-09,  4.159318247743E-14, -8.894620697006E-09,  5.703709335163E+04,  2.352055333221E+05, -9.932452226443E+02,  7.412284492526E-01, -2.178700125457E-02,  2.408621279888E-02,  6.704666784769E-01,  6.012736017872E-07, -7.624789448866E+00, -9.179472968801E-06,  8.887557524947E-02, -1.149946731775E-08, -3.414731277366E-12,  1.755556021897E-07,  9.533882851526E-15,  6.004088919935E-07, -7.624789448866E+00, -9.166272000251E-06,  8.887557524947E-02,  9.000002722651E+01,  8.426085401288E+01,  4.500000000000E+01 
                F16,  6.419999999996E+02,  1.000000000000E-02,  4.989451809294E+02, -2.733599397420E-05,  3.246084452637E+01,  5.925245113075E-09,  4.066134300377E-14, -8.725703674194E-09,  5.703709314101E+04,  2.356530270618E+05, -9.932452226443E+02,  7.412284522712E-01, -2.178699914351E-02,  2.408621470843E-02,  6.704666751398E-01,  5.898456043369E-07, -7.624789448869E+00, -9.005008411378E-06,  8.887557524947E-02, -1.128091853257E-08, -3.378445290808E-12,  1.722190179661E-07,  1.178401623113E-15,  5.889973351660E-07, -7.624789448869E+00, -8.992058338528E-06,  8.887557524947E-02,  9.000002670926E+01,  8.426085354761E+01,  4.500000000000E+01 
