     vehicle name   , time[s]            , dt[s]              , u[ft/s]            , v[ft/s]            , w[ft/s]            , p[rad/s]           , q[rad/s]           , r[rad/s]           , x[ft]              , y[ft]              , z[ft]              , e0                 , ex                 , ey                 , ez                 , aileron[deg]       , elevator[deg]      , rudder[deg]        , throttle           , d_aileron          , d_elevator         , d_rudder           , d_throttle         , aileron_sp[deg]    , elevator_sp[deg]   , rudder_sp[deg]     , throttle_sp[none]  , ground_speed[ft/s] , ground_track[deg]  , heading[deg]       , wind_direction[deg]
                F16,  3.262000000025E+03,  1.000000000000E-02,  4.513560643884E+02, -7.869533384298E-07,  3.574499362359E+01,  1.700519957308E-10,  7.369308252792E-12, -4.465023018157E-10, -2.383552730060E+05,  1.463183788900E+05, -9.792496444181E+02, -7.445463739723E-01, -2.634644773985E-02, -2.943597278403E-02,  6.664008442390E-01,  1.897379381015E-08, -7.934116419052E+00, -2.841314550788E-07,  7.612870422344E-02, -3.967968075267E-10, -1.600573490848E-10,  5.921744804871E-09, -5.086863463249E-13,  1.894395828982E-08, -7.934116419064E+00, -2.836861942661E-07,  7.612870422279E-02,  5.000000000004E+02,  2.700000016375E+02,  2.763401935431E+02,  4.500000000000E+01 
                F16,  3.264000000025E+03,  1.000000000000E-02,  4.513560643458E+02, -7.549825072400E-07,  3.574499362681E+01,  1.670406649076E-10,  7.235518263446E-12, -4.379494535739E-10, -2.383552729778E+05,  1.453183788900E+05, -9.792496444199E+02, -7.445463736730E-01, -2.634644785719E-02, -2.943597268879E-02,  6.664008445730E-01,  1.819390650816E-08, -7.934116419370E+00, -2.724917307727E-07,  7.612870422258E-02, -3.805923682498E-10, -1.572239924128E-10,  5.680771536449E-09, -3.531586905922E-13,  1.816528892485E-08, -7.934116419382E+00, -2.720645890498E-07,  7.612870422214E-02,  5.000000000003E+02,  2.700000015938E+02,  2.763401934952E+02,  4.500000000000E+01 
                F16,  3.266000000025E+03,  1.000000000000E-02,  4.513560643040E+02, -7.243012931678E-07,  3.574499362997E+01,  1.639810970014E-10,  7.099863935314E-12, -4.293237510926E-10, -2.383552729503E+05,  1.443183788900E+05, -9.792496444217E+02, -7.445463733794E-01, -2.634644797244E-02, -2.943597259526E-02,  6.664008449005E-01,  1.744587211815E-08, -7.934116419682E+00, -2.613257309720E-07,  7.612870422202E-02, -3.650427599703E-10, -1.543566554290E-10,  5.449535787014E-09, -2.075717738153E-13,  1.741842434967E-08, -7.934116419694E+00, -2.609159761427E-07,  7.612870422177E-02,  5.000000000003E+02,  2.700000015508E+02,  2.763401934480E+02,  4.500000000000E+01 
                F16,  3.268000000025E+03,  1.000000000000E-02,  4.513560642629E+02, -6.948580789134E-07,  3.574499363308E+01,  1.608824330625E-10,  6.962756092839E-12, -4.206464630721E-10, -2.383552729236E+05,  1.433183788900E+05, -9.792496444236E+02, -7.445463730917E-01, -2.634644808555E-02, -2.943597250344E-02,  6.664008452216E-01,  1.672839995016E-08, -7.934116419989E+00, -2.506143099451E-07,  7.612870422174E-02, -3.501311661293E-10, -1.514510326904E-10,  5.227646933009E-09, -7.712523957153E-14,  1.670207333925E-08, -7.934116420001E+00, -2.502212391864E-07,  7.612870422166E-02,  5.000000000002E+02,  2.700000015086E+02,  2.763401934017E+02,  4.500000000000E+01 
                F16,  3.270000000025E+03,  1.000000000000E-02,  4.513560642225E+02, -6.666032959319E-07,  3.574499363612E+01,  1.577534435878E-10,  6.824591700744E-12, -4.119371993992E-10, -2.383552728977E+05,  1.423183788900E+05, -9.792496444256E+02, -7.445463728099E-01, -2.634644819651E-02, -2.943597241337E-02,  6.664008455360E-01,  1.604024733620E-08, -7.934116420290E+00, -2.403390897615E-07,  7.612870422171E-02, -3.358228374943E-10, -1.485033045306E-10,  5.014730415989E-09,  4.394514196075E-14,  1.601499651285E-08, -7.934116420301E+00, -2.399620284723E-07,  7.612870422179E-02,  5.000000000001E+02,  2.700000014672E+02,  2.763401933563E+02,  4.500000000000E+01 
                F16,  3.272000000025E+03,  1.000000000000E-02,  4.513560641830E+02, -6.394893426924E-07,  3.574499363911E+01,  1.546022232418E-10,  6.685711422401E-12, -4.032139954731E-10, -2.383552728724E+05,  1.413183788900E+05, -9.792496444276E+02, -7.445463725340E-01, -2.634644830530E-02, -2.943597232506E-02,  6.664008458439E-01,  1.538022576721E-08, -7.934116420585E+00, -2.304824301719E-07,  7.612870422191E-02, -3.220996960547E-10, -1.455319699104E-10,  4.810425663970E-09,  1.561648705679E-13,  1.535600721991E-08, -7.934116420596E+00, -2.301207308011E-07,  7.612870422214E-02,  5.000000000000E+02,  2.700000014267E+02,  2.763401933117E+02,  4.500000000000E+01 
                F16,  3.274000000025E+03,  1.000000000000E-02,  4.513560641443E+02, -6.134705087672E-07,  3.574499364203E+01,  1.514360892897E-10,  6.546398931982E-12, -3.944934479982E-10, -2.383552728479E+05,  1.403183788900E+05, -9.792496444297E+02, -7.445463722640E-01, -2.634644841190E-02, -2.943597223852E-02,  6.664008461452E-01,  1.474719309923E-08, -7.934116420874E+00, -2.210273987585E-07,  7.612870422232E-02, -3.089241603267E-10, -1.425724318893E-10,  4.614386868588E-09,  2.589147471151E-13,  1.472396418573E-08, -7.934116420885E+00, -2.206804397400E-07,  7.612870422269E-02,  5.000000000000E+02,  2.700000013869E+02,  2.763401932681E+02,  4.500000000000E+01 
                F16,  3.276000000025E+03,  1.000000000000E-02,  4.513560641063E+02, -5.885028997799E-07,  3.574499364490E+01,  1.482618958897E-10,  6.406976557936E-12, -3.857907870499E-10, -2.383552728240E+05,  1.393183788900E+05, -9.792496444317E+02, -7.445463719998E-01, -2.634644851630E-02, -2.943597215376E-02,  6.664008464399E-01,  1.414005112737E-08, -7.934116421157E+00, -2.119577429210E-07,  7.612870422294E-02, -2.962842153954E-10, -1.395857141487E-10,  4.426282092087E-09,  3.519737195798E-13,  1.411777362595E-08, -7.934116421168E+00, -2.116249277536E-07,  7.612870422343E-02,  4.999999999999E+02,  2.700000013479E+02,  2.763401932253E+02,  4.500000000000E+01 
                F16,  3.278000000025E+03,  1.000000000000E-02,  4.513560640692E+02, -5.645443654745E-07,  3.574499364770E+01,  1.450859475439E-10,  6.267629462822E-12, -3.771199549201E-10, -2.383552728008E+05,  1.383183788900E+05, -9.792496444338E+02, -7.445463717416E-01, -2.634644861850E-02, -2.943597207079E-02,  6.664008467281E-01,  1.355775022004E-08, -7.934116421435E+00, -2.032578630962E-07,  7.612870422373E-02, -2.841580379627E-10, -1.366066700941E-10,  4.245793224788E-09,  4.374323791629E-13,  1.353638418059E-08, -7.934116421445E+00, -2.029386190649E-07,  7.612870422433E-02,  4.999999999999E+02,  2.700000013098E+02,  2.763401931835E+02,  4.500000000000E+01 
                F16,  3.280000000025E+03,  1.000000000000E-02,  4.513560640328E+02, -5.415544315141E-07,  3.574499365044E+01,  1.419141007091E-10,  6.128662288171E-12, -3.684936665932E-10, -2.383552727783E+05,  1.373183788900E+05, -9.792496444359E+02, -7.445463714892E-01, -2.634644871850E-02, -2.943597198960E-02,  6.664008470097E-01,  1.299927922101E-08, -7.934116421706E+00, -1.949127863235E-07,  7.612870422468E-02, -2.725285146953E-10, -1.336251395805E-10,  4.072613778085E-09,  5.141654462176E-13,  1.297878752531E-08, -7.934116421716E+00, -1.946065638344E-07,  7.612870422538E-02,  4.999999999998E+02,  2.700000012724E+02,  2.763401931425E+02,  4.500000000000E+01 
                F16,  3.282000000025E+03,  1.000000000000E-02,  4.513560639972E+02, -5.194942342292E-07,  3.574499365313E+01,  1.387514281751E-10,  5.990223183957E-12, -3.599235599156E-10, -2.383552727564E+05,  1.363183788900E+05, -9.792496444381E+02, -7.445463712426E-01, -2.634644881630E-02, -2.943597191019E-02,  6.664008472848E-01,  1.246367030782E-08, -7.934116421971E+00, -1.869081414345E-07,  7.612870422578E-02, -2.613676381937E-10, -1.306370098430E-10,  3.906449850169E-09,  5.839471866466E-13,  1.244401849693E-08, -7.934116421981E+00, -1.866144129946E-07,  7.612870422658E-02,  4.999999999998E+02,  2.700000012359E+02,  2.763401931024E+02,  4.500000000000E+01 
                F16,  3.284000000025E+03,  1.000000000000E-02,  4.513560639625E+02, -4.983264556894E-07,  3.574499365575E+01,  1.356029779412E-10,  5.852547160927E-12, -3.514201870611E-10, -2.383552727351E+05,  1.353183788900E+05, -9.792496444402E+02, -7.445463710018E-01, -2.634644891191E-02, -2.943597183255E-02,  6.664008475535E-01,  1.194999244414E-08, -7.934116422230E+00, -1.792301351871E-07,  7.612870422701E-02, -2.506640561652E-10, -1.276951982031E-10,  3.747019696809E-09,  6.474755507880E-13,  1.193114500799E-08, -7.934116422240E+00, -1.789483944743E-07,  7.612870422789E-02,  4.999999999997E+02,  2.700000012002E+02,  2.763401930632E+02,  4.500000000000E+01 
                F16,  3.286000000025E+03,  1.000000000000E-02,  4.513560639285E+02, -4.780152641152E-07,  3.574499365831E+01,  1.324730627265E-10,  5.715861520388E-12, -3.429931196444E-10, -2.383552727145E+05,  1.343183788900E+05, -9.792496444424E+02, -7.445463707667E-01, -2.634644900534E-02, -2.943597175668E-02,  6.664008478158E-01,  1.145735474282E-08, -7.934116422483E+00, -1.718655290134E-07,  7.612870422837E-02, -2.403959689741E-10, -1.247534772472E-10,  3.594051933520E-09,  7.045908236105E-13,  1.143927947639E-08, -7.934116422493E+00, -1.715952900878E-07,  7.612870422932E-02,  4.999999999997E+02,  2.700000011653E+02,  2.763401930249E+02,  4.500000000000E+01 
                F16,  3.288000000025E+03,  1.000000000000E-02,  4.513560638953E+02, -4.585262539203E-07,  3.574499366082E+01,  1.293656239565E-10,  5.580225104234E-12, -3.346510175463E-10, -2.383552726945E+05,  1.333183788900E+05, -9.792496444445E+02, -7.445463705373E-01, -2.634644909661E-02, -2.943597168257E-02,  6.664008480718E-01,  1.098490093624E-08, -7.934116422731E+00, -1.648016169714E-07,  7.612870422983E-02, -2.305477992853E-10, -1.218391542951E-10,  3.447287090047E-09,  7.547717340066E-13,  1.096756583978E-08, -7.934116422740E+00, -1.645424134645E-07,  7.612870423085E-02,  4.999999999997E+02,  2.700000011312E+02,  2.763401929875E+02,  4.500000000000E+01 
                F16,  3.290000000025E+03,  1.000000000000E-02,  4.513560638629E+02, -4.398263907739E-07,  3.574499366326E+01,  1.262843315930E-10,  5.445894449733E-12, -3.264016774063E-10, -2.383552726750E+05,  1.323183788900E+05, -9.792496444466E+02, -7.445463703135E-01, -2.634644918572E-02, -2.943597161020E-02,  6.664008483215E-01,  1.053181022132E-08, -7.934116422972E+00, -1.580262045928E-07,  7.612870423138E-02, -2.210978354194E-10, -1.189174704531E-10,  3.306475357010E-09,  8.004053510830E-13,  1.051518537518E-08, -7.934116422981E+00, -1.577775888502E-07,  7.612870423246E-02,  4.999999999997E+02,  2.700000010979E+02,  2.763401929509E+02,  4.500000000000E+01 
                F16,  3.292000000025E+03,  1.000000000000E-02,  4.513560638313E+02, -4.218839569182E-07,  3.574499366564E+01,  1.232326839852E-10,  5.312941002723E-12, -3.182520819110E-10, -2.383552726561E+05,  1.313183788900E+05, -9.792496444488E+02, -7.445463700953E-01, -2.634644927271E-02, -2.943597153956E-02,  6.664008485650E-01,  1.009729120566E-08, -7.934116423208E+00, -1.515275882174E-07,  7.612870423302E-02, -2.120347659822E-10, -1.160497709730E-10,  3.171376027099E-09,  8.406908144827E-13,  1.008134830919E-08, -7.934116423217E+00, -1.512891307357E-07,  7.612870423416E-02,  4.999999999996E+02,  2.700000010654E+02,  2.763401929153E+02,  4.500000000000E+01 
                F16,  3.294000000025E+03,  1.000000000000E-02,  4.513560638004E+02, -4.046684976467E-07,  3.574499366797E+01,  1.202136481609E-10,  5.181523116374E-12, -3.102084328848E-10, -2.383552726378E+05,  1.303183788900E+05, -9.792496444509E+02, -7.445463698825E-01, -2.634644935758E-02, -2.943597147063E-02,  6.664008488024E-01,  9.680589857482E-09, -7.934116423438E+00, -1.452945357443E-07,  7.612870423474E-02, -2.033339094243E-10, -1.131999677224E-10,  3.041760267739E-09,  8.747831655281E-13,  9.665300948043E-09, -7.934116423447E+00, -1.450658241792E-07,  7.612870423592E-02,  4.999999999996E+02,  2.700000010337E+02,  2.763401928804E+02,  4.500000000000E+01 
                F16,  3.296000000026E+03,  1.000000000000E-02,  4.513560637703E+02, -3.881507749746E-07,  3.574499367024E+01,  1.172295932475E-10,  5.051643635020E-12, -3.022763173330E-10, -2.383552726200E+05,  1.293183788900E+05, -9.792496444530E+02, -7.445463696752E-01, -2.634644944037E-02, -2.943597140340E-02,  6.664008490338E-01,  9.280979330110E-09, -7.934116423662E+00, -1.393162673548E-07,  7.612870423652E-02, -1.950054811282E-10, -1.104184466162E-10,  2.917406779189E-09,  9.065543196371E-13,  9.266316566025E-09, -7.934116423671E+00, -1.390969060635E-07,  7.612870423774E-02,  4.999999999996E+02,  2.700000010027E+02,  2.763401928465E+02,  4.500000000000E+01 
