parameter,independent_variables,2
alpha[deg],beta[deg],Cx_lef,Cy_lef,Cz_lef,Cl_lef,Cm_lef,Cn_lef
35,15,0.262415,0.0307105,-0.224599,0.0387319,0.123759,0.00664631
35,20,0.241559,-0.0169596,-0.139802,0.024981,0.0689841,0.0311689
35,25,0.214745,-0.0978612,-0.107716,-0.0126051,0.0272728,0.0483576
35,30,0.204661,-0.13453,-0.0916732,-0.0423989,-0.0313981,0.0492744
40,-30,0.202369,0.571583,-0.0733386,0.0380444,0.129718,-0.0749429
40,-25,0.220933,0.483347,-0.171887,0.0316273,0.157907,-0.0694425
40,-20,0.202369,0.334378,-0.0756304,-0.00847978,0.103362,0.00183346
40,-15,0.220933,0.194576,-0.151261,-0.0197097,0.125134,0.0226891
40,-10,0.243392,-0.0362109,-0.176471,-0.0100841,0.116425,0.0139802
40,-8,0.248205,-0.0472117,-0.0779223,-0.0119175,0.0946526,0.00481285
40,-6,0.272499,-0.0664631,-0.352942,-0.00435448,0.101528,-0.00160428
40,-4,0.274103,-0.0332316,-0.242934,0.00320856,0.0850269,-0.00572958
40,-2,0.283041,-0.0148969,-0.245226,-0.0110008,0.0820476,-0.00297938
40,0,0.28052,0,-0.284187,0,0.0850269,0
40,2,0.286479,-0.00779223,-0.343775,-0.000229183,0.0831935,-0.00252101
40,4,0.279603,0.00733386,-0.288771,0.0041253,0.0861729,0
40,6,0.26929,0.0167304,0.0847978,0.0144385,0.0421697,-0.0139802
40,8,0.26929,-0.00458366,-0.245226,0.0155845,0.10107,-0.0144385
40,10,0.26379,0.0130634,-0.224599,0.0240642,0.0916732,-0.0252101
40,15,0.24133,-0.00825059,-0.169596,0.0336899,0.101986,-0.0332316
40,20,0.222766,0.0495036,-0.130634,0.0226891,0.0774639,-0.0139802
40,25,0.24133,0.0433156,-0.190222,-0.0176471,0.133614,0.0577541
40,30,0.222766,-0.0107716,-0.0962569,-0.0231475,0.110925,0.0430864
45,-30,0.223454,-0.0245226,0.0893814,0.0559207,0.00297938,-0.0261269
45,-25,0.211536,-0.0818184,0.48816,0.0190222,-0.0815892,0.0110008
45,-20,0.220474,-0.173492,0.169596,-0.00458366,-0.0419405,0.0183346
45,-15,0.228037,-0.0978612,-0.0870896,-0.0132926,0.0153553,0.0485868
45,-10,0.24133,-0.0751721,-0.339191,-0.00206265,0.0132926,0.0286479
45,-8,0.23858,-0.0554623,-0.327732,0.00481285,0.0261269,0.0247518
45,-6,0.245684,-0.0210848,-0.671507,0.00802141,0.0508787,0.0215432
45,-4,0.236975,0.0135218,-0.277312,0.0261269,0.0174179,0.016272
45,-2,0.254393,0.0220016,-0.705884,0.0220016,0.0673798,0.0158136
45,0,0.245913,0,-0.236059,0,0.0128343,0
45,2,0.244768,-0.0742553,-0.348358,0.0174179,0.0336899,-0.0153553
45,4,0.248434,-0.0272728,-0.385028,0.00366693,0.0332316,-0.0013751
45,6,0.25256,-0.0121467,-0.508787,0.000458366,0.0632545,0.000916732
45,8,0.234684,0.00916732,-0.185638,0.00389611,0.030023,-0.00733386
45,10,0.235142,-0.0146677,-0.295646,0.00183346,0.0499619,-0.0190222
45,15,0.221849,0.00847978,-0.226891,0.0128343,0.0524829,-0.0380444
45,20,0.214286,0.0809016,-0.107716,0.00504203,-0.000916732,-0.00802141
45,25,0.205348,-0.0116883,0.529413,-0.0183346,-0.041253,-0.000229183
45,30,0.217266,-0.0634837,0.132926,-0.0556915,0.0469825,0.0352942
