parameter,independent_variables,3
elevator[deg],alpha[deg],beta[deg],Cx,Cy,Cz,Cl,Cm,Cn
-25,30,30,0.0153,-0.3742,-1.371,-0.0637,0.1314,0.0235
-25,35,-30,0.0293,0.2437,-1.559,0.0442,0.1242,0.0208
-25,35,-25,0.0307,0.2267,-1.599,0.0399,0.068,0.0537
-25,35,-20,0.0251,0.1757,-1.672,0.0485,0.0709,0.0713
-25,35,-15,0.024,0.1307,-1.7,0.0279,0.0604,0.0751
-25,35,-10,0.0277,0.0776,-1.747,0.0108,0.0894,0.0583
-25,35,-8,0.0263,0.0602,-1.721,0.002,0.0858,0.0594
-25,35,-6,0.0219,0.0535,-1.718,-0.005,0.1011,0.0513
-25,35,-4,0.0257,0.0407,-1.778,-0.0045,0.1168,0.0357
-25,35,-2,0.0315,0.0181,-1.798,-0.0086,0.1229,0.0195
-25,35,0,0.0363,0,-1.786,0,0.1268,0
-25,35,2,0.035,-0.0214,-1.761,0.0016,0.1253,-0.0097
-25,35,4,0.0357,-0.0537,-1.746,-0.0051,0.1194,-0.0149
-25,35,6,0.0337,-0.0808,-1.745,-0.0061,0.1218,-0.0256
-25,35,8,0.026,-0.1009,-1.702,-0.003,0.1063,-0.0386
-25,35,10,0.0228,-0.1226,-1.682,-0.0002,0.0861,-0.0539
-25,35,15,0.0191,-0.1766,-1.623,-0.0186,0.0584,-0.0699
-25,35,20,0.0202,-0.2208,-1.579,-0.039,0.0661,-0.0672
-25,35,25,0.0258,-0.2714,-1.543,-0.0303,0.0638,-0.0487
-25,35,30,0.0244,-0.2901,-1.491,-0.0348,0.1269,-0.0146
-25,40,-30,0.0423,0.1976,-1.568,0.0499,0.0564,0.029
-25,40,-25,0.0473,0.1776,-1.595,0.0467,-0.0189,0.047
-25,40,-20,0.0467,0.1566,-1.697,0.039,0.0149,0.0762
-25,40,-15,0.0477,0.1286,-1.744,0.0218,0.0324,0.0704
-25,40,-10,0.0512,0.0906,-1.814,0.0121,0.0623,0.0512
-25,40,-8,0.0502,0.0737,-1.873,0.0144,0.0866,0.0412
-25,40,-6,0.0412,0.0593,-1.757,0.0175,0.0898,0.0299
-25,40,-4,0.0486,0.0505,-1.877,0.0082,0.1062,0.0209
-25,40,-2,0.0491,0.0188,-1.909,0.0096,0.1125,0.0081
-25,40,0,0.0515,0,-1.913,0,0.1107,0
-25,40,2,0.0461,-0.0286,-1.782,-0.0076,0.0928,-0.0037
-25,40,4,0.0479,-0.0516,-1.864,-0.0135,0.0936,-0.0115
-25,40,6,0.048,-0.0737,-2.006,-0.0186,0.1061,-0.0172
-25,40,8,0.0436,-0.0938,-1.729,-0.0218,0.0584,-0.0269
-25,40,10,0.0416,-0.1132,-1.82,-0.0235,0.0628,-0.0382
-25,40,15,0.0381,-0.1503,-1.765,-0.0327,0.03,-0.0617
-25,40,20,0.0371,-0.1791,-1.698,-0.0502,0.0157,-0.0666
-25,40,25,0.0377,-0.1996,-1.588,-0.0579,-0.0177,-0.0377
-25,40,30,0.0327,-0.2195,-1.588,-0.0615,0.054,-0.0109
-25,45,-30,0.056,0.1741,-1.599,0.0544,0.0917,-0.0006
-25,45,-25,0.068,0.1251,-1.828,0.048,0.1016,-0.0021
-25,45,-20,0.0643,0.1201,-1.759,0.0364,0.0833,0.0317
-25,45,-15,0.0609,0.1321,-1.712,0.0292,0.0463,0.0365
-25,45,-10,0.0584,0.111,-1.706,0.0159,0.0676,0.0274
-25,45,-8,0.063,0.0854,-1.848,0.0119,0.08,0.0196
-25,45,-6,0.0592,0.055,-1.74,0.0056,0.0746,0.0106
-25,45,-4,0.0605,0.0339,-1.818,-0.0025,0.0772,0.0076
-25,45,-2,0.0564,0.0183,-1.695,-0.0059,0.0641,-0.0007
-25,45,0,0.0586,0,-1.882,0,0.0866,0
-25,45,2,0.0581,-0.0544,-1.868,-0.0128,0.0793,-0.0078
-25,45,4,0.0566,-0.0929,-1.872,-0.0098,0.0693,-0.035
-25,45,6,0.0523,-0.1312,-1.691,-0.0126,0.0334,-0.0446
-25,45,8,0.0573,-0.1581,-1.837,-0.0152,0.036,-0.0548
-25,45,10,0.0547,-0.1766,-1.817,-0.0186,0.0202,-0.0615
-25,45,15,0.0572,-0.1977,-1.812,-0.033,-0.0021,-0.0734
-25,45,20,0.0606,-0.1859,-1.777,-0.0392,0.0347,-0.0669
-25,45,25,0.0643,-0.19,-1.92,-0.0499,0.0518,-0.0335
-25,45,30,0.0523,-0.2385,-1.721,-0.0561,0.0395,-0.0345
-10,-20,-30,-0.0567,0.3692,1.241,-0.01678,0.1413,-0.05738
-10,-20,-25,-0.0575,0.2991,1.32,-0.01328,0.1112,-0.05946
-10,-20,-20,-0.0608,0.2417,1.34,-0.00592,0.1114,-0.04886
-10,-20,-15,-0.0546,0.1692,1.369,0.00586,0.0307,-0.04998
-10,-20,-10,-0.0474,0.1078,1.457,0.01636,0.0226,-0.02784
-10,-20,-8,-0.0446,0.0874,1.446,0.016,0.0174,-0.01872
-10,-20,-6,-0.0449,0.0837,1.392,0.00532,0.0232,-0.01454
-10,-20,-4,-0.0452,0.0572,1.365,0.00486,0.0211,-0.00764
-10,-20,-2,-0.0464,0.026,1.388,0.0059,0.0189,-0.00302
